,elaped_time,pages_queued
615,12.93,616
616,12.94,617
617,12.95,618
618,12.95,619
619,12.96,620
620,13.64,621
621,13.65,622
622,13.65,623
623,13.66,624
624,13.66,625
625,13.67,626
626,13.67,627
627,13.68,628
628,13.69,629
629,13.69,630
630,13.70,631
631,13.70,632
632,13.71,633
633,13.71,634
634,13.72,635
635,13.72,636
636,13.73,637
637,13.73,638
638,13.74,639
639,13.74,640
640,14.07,641
641,14.07,642
642,14.08,643
643,14.08,644
644,14.09,645
645,14.09,646
646,14.10,647
647,14.10,648
648,14.11,649
649,14.12,650
650,14.12,651
651,14.13,652
652,14.14,653
653,14.14,654
654,14.15,655
655,14.15,656
656,14.16,657
657,14.17,658
658,14.17,659
659,14.18,660
660,14.51,661
661,14.52,662
662,14.52,663
663,14.53,664
664,14.54,665
665,14.54,666
666,14.55,667
667,14.55,668
668,14.56,669
669,14.56,670
670,14.56,671
671,14.57,672
672,14.57,673
673,14.58,674
674,14.58,675
675,14.59,676
676,14.59,677
677,14.60,678
678,14.60,679
679,14.61,680
680,14.92,681
681,14.93,682
682,14.93,683
683,14.94,684
684,14.94,685
685,14.95,686
686,14.95,687
687,14.96,688
688,14.96,689
689,14.97,690
690,14.97,691
691,14.98,692
692,14.98,693
693,14.99,694
694,14.99,695
695,15.00,696
696,15.00,697
697,15.01,698
698,15.01,699
699,15.01,700
700,15.77,701
701,15.77,702
702,15.78,703
703,15.79,704
704,15.79,705
705,15.80,706
706,15.80,707
707,15.81,708
708,15.82,709
709,15.82,710
710,15.83,711
711,15.83,712
712,15.84,713
713,15.84,714
714,15.85,715
715,15.86,716
716,15.86,717
717,15.87,718
718,15.87,719
719,15.88,720
720,16.17,721
721,16.18,722
722,16.19,723
723,16.19,724
724,16.20,725
725,16.20,726
726,16.21,727
727,16.22,728
728,16.22,729
729,16.23,730
730,16.23,731
731,16.24,732
732,16.24,733
733,16.25,734
734,16.25,735
735,16.26,736
736,16.26,737
737,16.27,738
738,16.28,739
739,16.28,740
740,16.60,741
741,16.61,742
742,16.61,743
743,16.62,744
744,16.62,745
745,16.63,746
746,16.64,747
747,16.64,748
748,16.65,749
749,16.65,750
750,16.66,751
751,16.67,752
752,16.67,753
753,16.68,754
754,16.69,755
755,16.69,756
756,16.70,757
757,16.71,758
758,16.71,759
759,16.72,760
760,17.00,761
761,17.01,762
762,17.01,763
763,17.02,764
764,17.02,765
765,17.03,766
766,17.03,767
767,17.04,768
768,17.04,769
769,17.05,770
770,17.06,771
771,17.06,772
772,17.07,773
773,17.07,774
774,17.08,775
775,17.08,776
776,17.09,777
777,17.09,778
778,17.10,779
779,17.10,780
780,17.40,781
781,17.41,782
782,17.41,783
783,17.42,784
784,17.42,785
785,17.43,786
786,17.43,787
787,17.44,788
788,17.44,789
789,17.45,790
790,17.45,791
791,17.46,792
792,17.46,793
793,17.47,794
794,17.47,795
